coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;1.5989;-0.035;0.9537;0.4996;0.2946;
2;-4.6728;-0.551;-1.2291;1.3085;-0.0039;
3;1.0115;-1.6453;0.1693;-0.4058;0.3952;
4;-1.2716;0.3922;0.5695;0.4403;0.1925;
5;0.4755;1.0802;-0.3836;-0.2705;-0.8448;
6;-1.9603;-2.3815;-0.4855;0.6298;-1.554;
7;2.9334;-0.0857;-0.591;-2.0048;-0.1279;
8;-0.7527;0.4327;0.0912;0.3908;0.2557;
9;1.0781;0.7194;-0.2258;0.3223;0.1412;
10;-1.7046;-0.0234;-1.0881;-2.1065;0.0492;
11;1.3119;-0.9605;-0.0196;-1.2147;0.2285;
12;-1.9477;1.0448;0.4895;-0.3592;0.5393;
13;0.8688;1.3075;-0.4802;-0.3993;-0.1007;
14;1.5213;-1.5485;0.2348;-0.4932;0.4704;
15;2.3752;0.529;0.0466;-0.1935;-0.4727;
16;0.6849;0.4921;-0.1292;0.451;-0.6029;
17;-1.2716;0.3922;0.5695;0.4403;0.1925;
18;4.2601;0.1258;1.0835;-0.1626;0.1549;
19;-1.0009;0.264;-0.5227;-0.8272;0.1017;
20;-0.501;1.0478;-0.2747;-0.2611;-0.3313;
21;-2.6315;-0.5544;0.5925;-0.075;0.4702;
22;-0.5045;1.0126;0.2061;-0.2906;-0.5629;
23;-1.481;0.9803;0.3151;-0.2812;-0.0494;
24;-1.2716;0.3922;0.5695;0.4403;0.1925;
25;1.5213;-1.5485;0.2348;-0.4932;0.4704;
26;-1.0397;-0.4928;-0.8821;-1.3236;0.1896;
27;4.4695;-0.4622;1.3379;0.559;0.3968;
28;0.9385;0.3124;1.1627;0.0261;-1.0997;
29;0.7819;-0.5609;-0.1564;0.4694;1.0597;
30;-2.2597;-2.7685;1.5875;-0.5979;-1.0406;
31;-2.7098;1.3747;-0.0703;-0.828;-0.4418;
32;0.5338;-0.7296;-0.7702;-0.7486;0.9057;
33;2.1316;0.4952;-0.8934;0.5492;-1.4735;
34;-1.2716;0.3922;0.5695;0.4403;0.1925;
35;-0.8978;-2.0267;-0.1147;0.2896;-0.7395;
36;2.7958;1.0245;-1.8284;3.154;1.2514;
37;1.4076;2.8481;0.1273;0.6632;-0.6216;
38;1.0801;-0.0754;1.432;0.5492;0.2314;
39;0.5776;1.5018;0.287;-1.5362;-1.1751;
40;0.2772;0.817;0.476;-0.7273;-1.0085;
41;0.389;-0.5821;-1.8873;3.3049;-1.0265;
42;-2.9492;0.2211;-2.7507;-0.6628;-0.4343;
43;-2.4615;-0.0761;0.5072;0.509;-0.5421;
44;1.1668;-1.019;0.6908;0.132;-0.3615;
45;0.1497;1.7987;-0.8001;-1.0334;-0.4179;
46;-1.5586;-0.5332;-0.4038;-1.2741;0.1263;
47;1.3508;-0.2037;0.3398;-0.7183;0.1406;
48;0.7001;-1.4789;-0.7557;0.1383;0.4836;
49;-0.621;1.1431;0.0441;-0.332;0.1059;
50;-1.2716;0.3922;0.5695;0.4403;0.1925;
51;-3.6348;0.0452;-2.3225;-0.572;2.903;
52;2.3757;-1.2941;0.0268;-0.5523;0.8693;
53;-2.4906;0.0996;0.0016;-0.7599;0.3083;
54;-1.1529;-0.0632;-2.6668;-0.3227;0.4417;
55;-5.4614;-0.6897;0.6046;0.6733;0.6267;
56;2.6239;-0.7142;0.1418;-1.2337;0.0507;
57;1.5989;-0.035;0.9537;0.4996;0.2946;
58;0.9187;-1.1878;0.0769;-1.086;-0.5155;
59;0.6327;0.3872;0.1747;0.5786;-1.2548;
60;-1.2716;0.3922;0.5695;0.4403;0.1925;
61;1.5213;-1.5485;0.2348;-0.4932;0.4704;
62;-0.0731;0.2266;-0.8085;-0.6795;-0.8321;
63;1.1802;1.1411;0.4449;-0.9434;-0.1892;
64;1.0005;-0.7941;-0.9447;-0.6706;0.317;
65;1.2875;0.1314;0.0287;1.0438;0.3831;
66;-4.1468;0.2734;1.0103;0.3198;1.9097;
67;1.0171;-1.7369;0.1064;-0.3975;0.1516;
68;0.3753;-0.1364;0.6035;1.2221;-0.4242;
69;1.506;-0.1018;-0.7596;-0.0962;-0.3597;
70;-2.9611;-0.6539;-1.5682;2.6496;-1.4513;
71;1.5989;-0.035;0.9537;0.4996;0.2946;
72;0.2181;0.5566;0.0452;0.373;-0.0142;
73;-1.4227;-0.3052;1.5494;-0.8437;1.4446;
74;1.0801;-0.0754;1.432;0.5492;0.2314;
75;-1.2716;0.3922;0.5695;0.4403;0.1925;
76;0.8942;-0.0959;0.1252;1.1726;-0.361;
77;-1.2716;0.3922;0.5695;0.4403;0.1925;
78;-0.2916;0.4598;-0.0203;0.4604;-0.0894;
79;1.554;0.5986;-0.9439;0.4381;-0.4595;
80;3.1774;-2.1334;-0.2749;0.3265;-0.1583;
81;1.1767;0.6946;1.4246;0.9264;0.5519;
82;-1.2716;0.3922;0.5695;0.4403;0.1925;
83;-0.2436;1.5714;-0.7035;-0.9047;-1.1619;
84;-1.2716;0.3922;0.5695;0.4403;0.1925;
85;1.2875;0.1314;0.0287;1.0438;0.3831;
86;1.5989;-0.035;0.9537;0.4996;0.2946;
87;1.5213;-1.5485;0.2348;-0.4932;0.4704;
88;1.8974;1.4447;-0.893;-0.5362;0.0378;
89;-0.3346;-1.5779;0.4445;-0.9064;-1.4149;
90;0.9959;-1.3402;-0.1197;-0.7318;2.1363;
91;-0.8882;-1.0941;-0.2608;-0.4829;0.0231;
92;0.6114;0.7839;-0.0514;0.2443;0.7299;
93;0.6072;-1.0214;-0.8481;-0.5418;-0.4271;
94;1.2209;-2.2333;0.4238;0.3157;0.6371;
95;-0.3346;-1.5779;0.4445;-0.9064;-1.4149;
96;0.6506;-0.4559;-0.7063;-1.9681;0.3197;
97;1.6858;1.8334;0.6299;-0.369;-0.8658;
98;-0.5189;-1.2472;0.2973;-1.1462;0.3431;
99;0.1682;0.1267;-3.0492;-0.3038;0.2519;
100;1.2098;-1.3821;-0.6902;0.051;0.5589;
101;4.1192;-1.0526;0.0534;0.6067;0.5731;
102;0;0;0;0;0;
103;-2.4144;1.1092;0.6639;-0.4372;1.128;
104;3.0979;2.885;0.303;0.0187;-0.4915;
105;-1.2716;0.3922;0.5695;0.4403;0.1925;
106;-1.2716;0.3922;0.5695;0.4403;0.1925;
107;2.4635;-2.138;-0.5597;0.9615;-0.8019;
108;-1.3779;-1.3104;0.723;0.8356;-0.8906;
109;-2.1677;0.8136;-2.0018;-0.171;-1.7846;
110;0.9187;-1.1878;0.0769;-1.086;-0.5155;
111;0.8688;1.3075;-0.4802;-0.3993;-0.1007;
112;-1.2716;0.3922;0.5695;0.4403;0.1925;
113;1.2057;-0.2623;1.0503;0.6284;-0.4494;
114;2.6257;3.7091;-0.6995;-0.3157;-0.2246;
115;1.8798;-0.1199;-0.5275;1.201;-0.8864;
116;1.554;1.123;0.677;0.3537;-0.716;
117;1.3119;-0.9605;-0.0196;-1.2147;0.2285;
118;0.4409;2.1287;0.0537;0.0191;0.4001;
119;-0.8629;-0.1591;0.2274;-0.3336;1.2012;
120;2.1932;-1.0812;2.0553;0.8838;-0.8847;
121;-1.2716;0.3922;0.5695;0.4403;0.1925;
122;-1.3104;-0.3645;0.2101;-0.0561;0.2804;
123;-0.0892;-0.3968;-2.6204;0.3398;1.0826;
124;0.0975;-1.1182;-0.9136;-0.4544;-0.5024;
125;-1.743;-0.0498;-1.654;0.0195;-1.4615;
126;1.2875;0.1314;0.0287;1.0438;0.3831;
127;0.1503;0.7568;0.0601;0.1746;1.075;
128;-2.8383;0.4844;1.6525;0.2713;1.5003;
129;-1.2716;0.3922;0.5695;0.4403;0.1925;
130;-1.4912;1.0897;-0.3989;-0.7168;-2.3049;
131;-0.5342;0.1995;-0.6971;-0.7492;-0.487;
132;-0.8049;0.3278;0.3951;0.5183;-0.3963;
133;1.3896;0.553;0.6993;-0.2219;0.0527;
134;-3.6602;-0.6917;1.0053;0.0619;0.3316;
135;-0.4021;-0.6473;0.2529;1.5175;-1.9243;
136;0.4908;2.0342;1.5271;0.7803;0.3904;
137;1.0005;-0.7941;-0.9447;-0.6706;0.317;
138;-0.3594;0.66;-0.0054;0.262;0.9998;
139;-1.2716;0.3922;0.5695;0.4403;0.1925;
140;0.9741;1.0926;-2.5542;1.361;0.3813;
141;-2.6942;-1.7423;-0.1987;-0.0505;-1.6155;
142;-2.9241;1.0124;0.5984;-0.3498;1.0528;
143;-1.2716;0.3922;0.5695;0.4403;0.1925;
144;0.4907;-0.8909;-1.0101;-0.5832;0.2417;
145;-4.181;0.0627;-0.1742;-0.1155;0.1782;
146;-0.3693;-1.0537;-0.7392;-0.5324;0.0864;
147;-0.243;0.5295;0.1567;0.3034;0.331;
148;2.1751;-1.4341;-3.0352;1.7605;1.1962;
149;-0.121;-0.4738;-0.6242;-1.2138;-0.7323;
150;1.487;-2.1703;-0.4507;0.9709;-0.2884;
151;-0.0714;-1.0418;0.3147;-1.4237;1.2639;
152;-4.181;0.0627;-0.1742;-0.1155;0.1782;
153;-1.2716;0.3922;0.5695;0.4403;0.1925;
154;1.3896;0.553;0.6993;-0.2219;0.0527;
155;-1.481;0.9803;0.3151;-0.2812;-0.0494;
156;1.5236;1.0517;-0.6262;0.0659;1.5372;
157;0.569;-0.4193;0.5689;1.6177;1.5588;
158;-1.6431;-1.5305;2.4933;0.4601;-1.4507;
159;-1.6903;1.5683;0.0607;-1.0028;-0.2913;
160;-2.4163;-0.3493;0.8195;-0.2734;-2.51;
161;3.2818;1.2996;-0.9643;-2.2794;-0.3945;
162;-1.2716;0.3922;0.5695;0.4403;0.1925;
163;0.7034;1.2209;-1.462;2.6285;0.4721;
164;2.4081;0.647;0.6755;-2.3277;1.2816;
165;-2.748;-0.4239;0.4304;-0.1164;1.139;
166;0.8165;-1.6094;-0.5937;0.1797;-0.1852;
167;2.1622;0.4138;1.5129;-0.6964;-0.3808;
168;0.9963;0.3257;0.7958;-0.0931;-0.6913;
169;-0.7047;1.5443;-0.5921;-0.9743;-0.8168;
170;1.6378;0.7218;1.3132;0.996;0.2068;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.6665;0.0003;0.2371;0.0651;0.0226;
